group	name	w	h	ext	has_alpha_content	transparent_or_soft_ratio	semi_transparent_edge_ratio
Normal	2D Unity项目设置与效果.png	3360	1312	.png	True	0.0	0.0
Normal	Background.png	4096	1399	.png	True	0.0	0.0
Normal	Book.png	149	124	.png	True	0.0744	0.0271
Normal	Box.png	118	83	.png	True	0.1272	0.0392
Normal	Computer.png	768	692	.png	True	0.6341	0.0056
Normal	Cup.png	50	67	.png	True	0.266	0.0773
Normal	Door.png	884	1306	.png	True	0.116	0.0097
Normal	ElectricalPanel.png	490	810	.png	True	0.304	0.005
Normal	HangingLamp.png	556	694	.png	True	0.7832	0.005
Normal	LeftBookshelf.png	429	613	.png	True	0.0365	0.0211
Normal	Logo.png	760	220	.png	True	1.0	0.4316
Normal	MainScence.png	1905	742	.png	True	0.0	0.0
Normal	Map.png	993	786	.png	True	0.4611	0.071
Normal	Memo_01.png	358	374	.png	True	0.369	0.0098
Normal	Memo_02.png	242	392	.png	True	0.4033	0.0135
Normal	Memo_03.png	432	278	.png	True	0.3145	0.0116
Normal	Memo_04.png	504	332	.png	True	0.4906	0.009
Normal	MiniBox.png	106	82	.png	True	0.079	0.0435
Normal	Printer.png	185	115	.png	True	0.091	0.0273
Normal	RightBookshelf.png	437	613	.png	True	0.0201	0.0106
Normal	SecurityCamera.png	876	536	.png	True	0.6553	0.0067
Normal	Shelf.png	566	912	.png	True	0.3605	0.0048
Normal	Table.png	570	331	.png	True	0.1333	0.0202
Normal	UI01.png	19	11	.png	True	0.6555	0.1627
Normal	UI02.png	19	11	.png	True	0.5885	0.1579
Normal	UI03.png	20	11	.png	True	0.55	0.0818
Normal	UI04.png	21	11	.png	True	0.5455	0.0433
Normal	UIBackground.jpg	4096	1399	.jpg	True	0.0	0.0
Normal	Water.png	139	480	.png	True	0.133	0.0192
Normal	Window.png	365	436	.png	True	0.028	0.0073
Special	Background.png	4096	1397	.png	True	0.0002	0.0002
Special	Blood.png	598	602	.png	True	1.0	0.1521
Special	Blood1.png	2947	670	.png	True	1.0	0.0261
Special	Blood2.png	1016	624	.png	True	1.0	0.0866
Special	Books.png	183	90	.png	True	0.3321	0.139
Special	Computer.png	768	692	.png	True	0.6338	0.0059
Special	Cup.png	73	121	.png	True	0.3105	0.1743
Special	Cup2.png	69	122	.png	True	0.2738	0.1814
Special	ElectricalPanel.png	490	810	.png	True	0.2895	0.0051
Special	HangingLamp.png	556	694	.png	True	0.7775	0.006
Special	LeftBookShelf.png	674	936	.png	True	0.1485	0.0499
Special	Map.png	1030	721	.png	True	0.1031	0.0114
Special	Memo_01.png	358	374	.png	True	0.348	0.0105
Special	Memo_02.png	242	392	.png	True	0.366	0.0134
Special	Memo_03.png	432	278	.png	True	0.3173	0.0125
Special	Memo_04.png	504	332	.png	True	0.3942	0.0098
Special	Printer.png	185	115	.png	True	0.1389	0.0549
Special	RightBookShelf.png	720	977	.png	True	0.1807	0.0315
Special	SecurityCamera.png	876	536	.png	True	0.6468	0.0072
Special	Shelf.png	566	912	.png	True	0.3394	0.005
Special	Table.png	904	490	.png	True	0.5688	0.2986
Special	UIBackground.jpg	4096	1397	.jpg	True	0.0	0.0
Special	Water1.png	287	593	.png	True	0.2093	0.0108
Special	Window.png	804	793	.png	True	0.0488	0.0316
Special	Window2.png	542	753	.png	True	0.16	0.0428
Special	Window3.png	804	793	.png	True	0.7605	0.0057
