world	name	w	h	before_transparent_or_soft	before_soft_edge	after_transparent_or_soft	after_soft_edge	median_luma
Normal	2D Unity项目设置与效果.png	3360	1312	0.0	0.0	0.0	0.0	164.85560607910156
Normal	Background.png	4096	1399	0.0	0.0	0.0	0.0	79.44879913330078
Normal	Book.png	149	124	0.07436674604892834	0.027062134661182072	0.06906256765533665	0.03534314786750379	127.55879974365234
Normal	Box.png	118	83	0.12722074739636513	0.039207678170308354	0.12007351439656933	0.062487237083928934	131.05740356445312
Normal	Computer.png	768	692	0.634105175216763	0.005612882345857418	0.6329235157755299	0.00972799253371869	134.122802734375
Normal	Cup.png	50	67	0.26597014925373136	0.0773134328358209	0.24925373134328357	0.10835820895522388	120.84880065917969
Normal	Door.png	884	1306	0.11598573933048305	0.009675150540838317	0.1116470796116774	0.00686441969884903	131.62820434570312
Normal	ElectricalPanel.png	490	810	0.30403628117913833	0.005044091710758377	0.30260015117157973	0.008211136306374402	132.63619995117188
Normal	HangingLamp.png	556	694	0.78316712624137	0.005040636079033027	0.7821771401322746	0.00923382331598698	134.4011993408203
Normal	LeftBookshelf.png	429	613	0.03651650144309198	0.021081691554774754	0.03277472934895447	0.02310848477243257	129.56680297851562
Normal	Logo.png	760	220	1.0	0.4315909090909091	1.0	0.2423086124401914	148.2283935546875
Normal	MainScence.png	1905	742	0.0	0.0	0.0	0.0	75.86479949951172
Normal	Map.png	993	786	0.46111200797439583	0.07097776035300539	0.45623179047223694	0.012652178480918593	157.3542022705078
Normal	Memo_01.png	358	374	0.36904370686822213	0.009828817255698622	0.36668359573387505	0.01599049980581364	156.2740020751953
Normal	Memo_02.png	242	392	0.4032615112160567	0.013493000505987519	0.40092131894079946	0.022115871141845166	156.48660278320312
Normal	Memo_03.png	432	278	0.31450672795097256	0.011574074074074073	0.31213362643218756	0.018710031974420463	156.1295928955078
Normal	Memo_04.png	504	332	0.49062918340026773	0.009042120864410022	0.4892128035953337	0.015663845859628992	156.48660278320312
Normal	MiniBox.png	106	82	0.07903819604233778	0.04348826507132996	0.07167510354348826	0.06028531983433042	131.69520568847656
Normal	Printer.png	185	115	0.09104582843713278	0.027309048178613397	0.08333725029377204	0.03525264394829612	131.14959716796875
Normal	RightBookshelf.png	437	613	0.020113408565743743	0.010605455407438378	0.018586611219160748	0.013927826161616539	121.55880737304688
Normal	SecurityCamera.png	876	536	0.6553469808491788	0.006710880528862537	0.6544226640768759	0.011632760853267907	134.42079162597656
Normal	Shelf.png	566	912	0.36051314239662763	0.004837347343624078	0.35924229743971237	0.0081888134647573	118.91819763183594
Normal	Table.png	570	331	0.13333863359304607	0.020225791063762124	0.12923093231568347	0.02278051624529602	131.839599609375
Normal	UI01.png	19	11	0.6555023923444976	0.16267942583732056	0.6555023923444976	0.16267942583732056	156.39639282226562
Normal	UI02.png	19	11	0.5885167464114832	0.15789473684210525	0.5885167464114832	0.15789473684210525	156.39639282226562
Normal	UI03.png	20	11	0.55	0.08181818181818182	0.55	0.08181818181818182	156.39639282226562
Normal	UI04.png	21	11	0.5454545454545454	0.04329004329004329	0.5454545454545454	0.04329004329004329	156.39639282226562
Normal	UIBackground.jpg	4096	1399	0.0	0.0	0.0	0.0	130.218994140625
Normal	Water.png	139	480	0.13295863309352518	0.019154676258992805	0.13002098321342925	0.03366306954436451	131.69358825683594
Normal	Window.png	365	436	0.027950232499685812	0.0072577604624858615	0.026875706924720372	0.012642955887897449	193.2740020751953
Special	Background.png	4096	1397	0.00019870285656764495	0.00019870285656764495	4.369016195418755e-06	4.369016195418755e-06	41.927799224853516
Special	Blood.png	598	602	1.0	0.15211280125334725	1.0	0.11262625140279336	36.559200286865234
Special	Blood1.png	2947	670	1.0	0.02605128412906624	0.9999767028447852	0.02343643168615693	41.748199462890625
Special	Blood2.png	1016	624	1.0	0.0866425651120533	1.0	0.07725431556632344	32.34659957885742
Special	Books.png	183	90	0.3321190042501518	0.13904068002428657	0.28864602307225257	0.12100789313904067	42.8931999206543
Special	Computer.png	768	692	0.6337721278901735	0.005863138246628131	0.6327391166907514	0.009914273241811175	73.00360107421875
Special	Cup.png	73	121	0.3105400203781275	0.17434620174346202	0.20672478206724781	0.0784557907845579	72.98760223388672
Special	Cup2.png	69	122	0.27381800902827275	0.18139700641482537	0.1672606319790924	0.08493703967688288	70.81019592285156
Special	ElectricalPanel.png	490	810	0.2895036533131771	0.0050844041320231795	0.2878483245149912	0.0081758629377677	72.92900085449219
Special	HangingLamp.png	556	694	0.777501917774138	0.005963240934629818	0.7761672506375303	0.010345613998714573	71.04940032958984
Special	LeftBookShelf.png	674	936	0.14851695452585661	0.04988079839711887	0.12057432346749854	0.018379555657003728	39.149600982666016
Special	Map.png	1030	721	0.10305266418000888	0.011360973836230694	0.09947483942205405	0.009139140621843986	112.02540588378906
Special	Memo_01.png	358	374	0.3480043617243749	0.010463657276013503	0.3458907178920324	0.017312460789292862	124.38119506835938
Special	Memo_02.png	242	392	0.3659870973182662	0.013366503626243887	0.36413180974869286	0.023665457918704672	119.80120086669922
Special	Memo_03.png	432	278	0.31728783639754865	0.012490007993605116	0.31404876099120704	0.01920963229416467	118.73820495605469
Special	Memo_04.png	504	332	0.39421973608720595	0.009807085484796328	0.39190691336775674	0.016076209600305987	114.22480010986328
Special	Printer.png	185	115	0.13889541715628673	0.054853113983548765	0.10387779083431257	0.03374853113983549	71.07579803466797
Special	RightBookShelf.png	720	977	0.180697714090754	0.0314980666439213	0.1695240532241556	0.019026498350960992	37.71120071411133
Special	SecurityCamera.png	876	536	0.6467895965378586	0.0071879472500511144	0.6457545321338513	0.011918148981121788	72.79499816894531
Special	Shelf.png	566	912	0.33940084309714214	0.0049574576901618	0.33796533072965096	0.00850458744033228	42.716400146484375
Special	Table.png	904	490	0.5687827343326711	0.2985551742821022	0.28959048221058337	0.019685750406357234	66.08899688720703
Special	UIBackground.jpg	4096	1397	0.0	0.0	0.0	0.0	24.350200653076172
Special	Water1.png	287	593	0.20928838775258385	0.0108172582568996	0.20760792286313612	0.018391101762137832	43.68199920654297
Special	Window.png	804	793	0.04881017359608013	0.031618389766175425	0.03584850024781515	0.016882799119158305	43.6482048034668
Special	Window2.png	542	753	0.15997020527974204	0.04284951216046025	0.14408295477377084	0.021093975879997843	52.28200149536133
Special	Window3.png	804	793	0.7604945010132189	0.0057405281285878304	0.7572368297227607	0.004946892272559021	61.56279754638672
