world	name	w	h	before_transparent_or_soft	before_soft_edge	after_transparent_or_soft	after_soft_edge
Normal	2D Unity项目设置与效果.png	3360	1312	0.0	0.0	0.0	0.0
Normal	Background.png	4096	1399	0.0	0.0	0.0	0.0
Normal	Book.png	149	124	0.07436674604892834	0.027062134661182072	0.06998268023381685	0.01867287291621563
Normal	Box.png	118	83	0.12722074739636513	0.039207678170308354	0.12089034102511742	0.025627935470696344
Normal	Computer.png	768	692	0.634105175216763	0.005612882345857418	0.6331549554431599	0.004440631021194605
Normal	Cup.png	50	67	0.26597014925373136	0.0773134328358209	0.2525373134328358	0.05373134328358209
Normal	Door.png	884	1306	0.11598573933048305	0.009675150540838317	0.11184629936318974	0.0037730488590771447
Normal	ElectricalPanel.png	490	810	0.30403628117913833	0.005044091710758377	0.30295792391030485	0.002925170068027211
Normal	HangingLamp.png	556	694	0.78316712624137	0.005040636079033027	0.7824725810129994	0.003991043476458026
Normal	LeftBookshelf.png	429	613	0.03651650144309198	0.021081691554774754	0.0334439893983124	0.01563634842590797
Normal	Logo.png	760	220	1.0	0.4315909090909091	1.0	0.18125598086124403
Normal	MainScence.png	1905	742	0.0	0.0	0.0	0.0
Normal	Map.png	993	786	0.46111200797439583	0.07097776035300539	0.45656491112084846	0.009201817301261503
Normal	Memo_01.png	358	374	0.36904370686822213	0.009828817255698622	0.36746034117049564	0.0075732680070504585
Normal	Memo_02.png	242	392	0.4032615112160567	0.013493000505987519	0.40165921740597066	0.010583572271883961
Normal	Memo_03.png	432	278	0.31450672795097256	0.011574074074074073	0.3129329869437783	0.009017785771382894
Normal	Memo_04.png	504	332	0.49062918340026773	0.009042120864410022	0.4896909064830752	0.007458405048766495
Normal	MiniBox.png	106	82	0.07903819604233778	0.04348826507132996	0.07248044178554994	0.027841693511274735
Normal	Printer.png	185	115	0.09104582843713278	0.027309048178613397	0.0845123384253819	0.017485311398354877
Normal	RightBookshelf.png	437	613	0.020113408565743743	0.010605455407438378	0.01888525128695204	0.008238732870192361
Normal	SecurityCamera.png	876	536	0.6553469808491788	0.006710880528862537	0.6548145403121379	0.005790823280855994
Normal	Shelf.png	566	912	0.36051314239662763	0.004837347343624078	0.3594592709689418	0.0034483293038249335
Normal	Table.png	570	331	0.13333863359304607	0.020225791063762124	0.12955954841787248	0.014655218105687179
Normal	UI01.png	19	11	0.6555023923444976	0.16267942583732056	0.6555023923444976	0.16267942583732056
Normal	UI02.png	19	11	0.5885167464114832	0.15789473684210525	0.5885167464114832	0.15789473684210525
Normal	UI03.png	20	11	0.55	0.08181818181818182	0.55	0.08181818181818182
Normal	UI04.png	21	11	0.5454545454545454	0.04329004329004329	0.5454545454545454	0.04329004329004329
Normal	UIBackground.jpg	4096	1399	0.0	0.0	0.0	0.0
Normal	Water.png	139	480	0.13295863309352518	0.019154676258992805	0.13048561151079136	0.014733213429256594
Normal	Window.png	365	436	0.027950232499685812	0.0072577604624858615	0.027039085082317456	0.005749654392358929
Special	Background.png	4096	1397	0.00019870285656764495	0.00019870285656764495	3.320452308518253e-05	3.320452308518253e-05
Special	Blood.png	598	602	1.0	0.15211280125334725	1.0	0.099128879209769
Special	Blood1.png	2947	670	1.0	0.02605128412906624	0.9999767028447852	0.022941113907895203
Special	Blood2.png	1016	624	1.0	0.0866425651120533	1.0	0.07541199777912376
Special	Books.png	183	90	0.3321190042501518	0.13904068002428657	0.2901639344262295	0.09180327868852459
Special	Computer.png	768	692	0.6337721278901735	0.005863138246628131	0.6328313162331407	0.004579871146435452
Special	Cup.png	73	121	0.3105400203781275	0.17434620174346202	0.20898901845352655	0.04302049133929582
Special	Cup2.png	69	122	0.27381800902827275	0.18139700641482537	0.16963649322879543	0.04644808743169399
Special	ElectricalPanel.png	490	810	0.2895036533131771	0.0050844041320231795	0.2886974048878811	0.0033862433862433864
Special	HangingLamp.png	556	694	0.777501917774138	0.005963240934629818	0.7765222980117347	0.004574150477888583
Special	LeftBookShelf.png	674	936	0.14851695452585661	0.04988079839711887	0.12109741560780136	0.013968145273783256
Special	Map.png	1030	721	0.10305266418000888	0.011360973836230694	0.09980340142466639	0.00562460444635956
Special	Memo_01.png	358	374	0.3480043617243749	0.010463657276013503	0.3465479640307113	0.008603949451796971
Special	Memo_02.png	242	392	0.3659870973182662	0.013366503626243887	0.3647115871141845	0.011416343396862877
Special	Memo_03.png	432	278	0.31728783639754865	0.012490007993605116	0.31452338129496404	0.009325872635225153
Special	Memo_04.png	504	332	0.39421973608720595	0.009807085484796328	0.39268383056033657	0.007548049340218015
Special	Printer.png	185	115	0.13889541715628673	0.054853113983548765	0.10491186839012925	0.014571092831962397
Special	RightBookShelf.png	720	977	0.180697714090754	0.0314980666439213	0.17225349709996587	0.017512509951097464
Special	SecurityCamera.png	876	536	0.6467895965378586	0.0071879472500511144	0.6460825155046684	0.0059675935391535475
Special	Shelf.png	566	912	0.33940084309714214	0.0049574576901618	0.33840702684272517	0.0037253580063232286
Special	Table.png	904	490	0.5687827343326711	0.2985551742821022	0.29071247968213837	0.014549846487267473
Special	UIBackground.jpg	4096	1397	0.0	0.0	0.0	0.0
Special	Water1.png	287	593	0.20928838775258385	0.0108172582568996	0.20828363426973223	0.008931142069792175
Special	Window.png	804	793	0.04881017359608013	0.031618389766175425	0.03829998807977766	0.01584605346533411
Special	Window2.png	542	753	0.15997020527974204	0.04284951216046025	0.1446122030941425	0.017310830478822717
Special	Window3.png	804	793	0.7604945010132189	0.0057405281285878304	0.7572368297227607	0.0024703092356627957
