name	n_canvas	s_canvas	n_bbox	s_bbox	bbox_w_ratio	bbox_h_ratio
background	(4096, 1399)	(4096, 1397)	(4096, 1399)	(4096, 1397)	1.0	0.999
computer	(768, 692)	(768, 692)	(567, 472)	(567, 472)	1.0	1.0
cup	(50, 67)	(50, 67)	(50, 67)	(46, 67)	0.92	1.0
electricalpanel	(490, 810)	(490, 810)	(413, 697)	(420, 698)	1.017	1.001
hanginglamp	(556, 694)	(556, 694)	(478, 592)	(479, 596)	1.002	1.007
leftbookshelf	(429, 613)	(429, 613)	(429, 613)	(429, 613)	1.0	1.0
map	(993, 786)	(993, 786)	(882, 569)	(882, 569)	1.0	1.0
memo_01	(358, 374)	(358, 374)	(294, 312)	(307, 321)	1.044	1.029
memo_02	(242, 392)	(242, 392)	(206, 331)	(204, 337)	0.99	1.018
memo_03	(432, 278)	(432, 278)	(371, 235)	(364, 239)	0.981	1.017
memo_04	(504, 332)	(504, 332)	(390, 273)	(434, 286)	1.113	1.048
printer	(185, 115)	(185, 115)	(185, 115)	(185, 110)	1.0	0.957
rightbookshelf	(437, 613)	(437, 613)	(437, 613)	(437, 613)	1.0	1.0
securitycamera	(876, 536)	(876, 536)	(750, 460)	(754, 461)	1.005	1.002
shelf	(566, 912)	(566, 912)	(459, 773)	(487, 785)	1.061	1.016
table	(570, 331)	(570, 331)	(570, 330)	(570, 330)	1.0	1.0
uibackground	(4096, 1399)	(4096, 1397)	(4096, 1399)	(4096, 1397)	1.0	0.999
window	(365, 436)	(365, 436)	(364, 435)	(364, 435)	1.0	1.0
