world	name	w	h	before_soft	after_soft
Normal	2D Unity项目设置与效果.png	3360	1312	0.0	0.0
Normal	Background.png	4096	1399	0.0	0.0
Normal	Book.png	149	124	0.027062134661182072	0.03626326044598398
Normal	Box.png	118	83	0.039207678170308354	0.0629977537267715
Normal	Computer.png	768	692	0.005612882345857418	0.009430696050096339
Normal	Cup.png	50	67	0.0773134328358209	0.11074626865671641
Normal	Door.png	884	1306	0.009675150540838317	0.0064062142703706524
Normal	ElectricalPanel.png	490	810	0.005044091710758377	0.007442680776014109
Normal	HangingLamp.png	556	694	0.005040636079033027	0.008723280741401116
Normal	LeftBookshelf.png	429	613	0.021081691554774754	0.021914464002555357
Normal	Logo.png	760	220	0.4315909090909091	0.07532296650717703
Normal	MainScence.png	1905	742	0.0	0.0
Normal	Map.png	993	786	0.07097776035300539	0.013107016289599717
Normal	Memo_01.png	358	374	0.009828817255698622	0.014489289875421982
Normal	Memo_02.png	242	392	0.013493000505987519	0.02090360937763535
Normal	Memo_03.png	432	278	0.011574074074074073	0.01712796429523048
Normal	Memo_04.png	504	332	0.009042120864410022	0.014767402945113788
Normal	MiniBox.png	106	82	0.04348826507132996	0.061090658076392086
Normal	Printer.png	185	115	0.027309048178613397	0.03600470035252644
Normal	RightBookshelf.png	437	613	0.010605455407438378	0.013293216017560037
Normal	SecurityCamera.png	876	536	0.006710880528862537	0.010827710761262183
Normal	Shelf.png	566	912	0.004837347343624078	0.007692873969375736
Normal	Table.png	570	331	0.020225791063762124	0.021821169237292628
Normal	UI01.png	19	11	0.16267942583732056	0.39712918660287083
Normal	UI02.png	19	11	0.15789473684210525	0.430622009569378
Normal	UI03.png	20	11	0.08181818181818182	0.41818181818181815
Normal	UI04.png	21	11	0.04329004329004329	0.4069264069264069
Normal	UIBackground.jpg	4096	1399	0.0	0.0
Normal	Water.png	139	480	0.019154676258992805	0.03246402877697842
Normal	Window.png	365	436	0.0072577604624858615	0.012127686313937413
Special	Background.png	4096	1397	0.00019870285656764495	0.0
Special	Blood.png	598	602	0.15211280125334725	0.11262625140279336
Special	Blood1.png	2947	670	0.02605128412906624	0.02343643168615693
Special	Blood2.png	1016	624	0.0866425651120533	0.07725431556632344
Special	Books.png	149	124	0.13904068002428657	0.04378653388179259
Special	Computer.png	768	692	0.005863138246628131	0.012529729648362235
Special	Cup.png	50	67	0.17434620174346202	0.1316417910447761
Special	Cup2.png	50	67	0.18139700641482537	0.1316417910447761
Special	ElectricalPanel.png	490	810	0.0050844041320231795	0.011746031746031746
Special	HangingLamp.png	556	694	0.005963240934629818	0.012374826363692908
Special	LeftBookShelf.png	429	613	0.04988079839711887	0.019374317906128674
Special	Map.png	993	786	0.011360973836230694	0.013549041765641937
Special	Memo_01.png	358	374	0.010463657276013503	0.020763003017357274
Special	Memo_02.png	242	392	0.013366503626243887	0.02795581042334289
Special	Memo_03.png	432	278	0.012490007993605116	0.024255595523581135
Special	Memo_04.png	504	332	0.009807085484796328	0.01968588640275387
Special	Printer.png	185	115	0.054853113983548765	0.034876615746180964
Special	RightBookShelf.png	437	613	0.0314980666439213	0.012576479854860927
Special	SecurityCamera.png	876	536	0.0071879472500511144	0.014326909970694473
Special	Shelf.png	566	912	0.0049574576901618	0.011030779244932119
Special	Table.png	570	331	0.2985551742821022	0.02319923676260137
Special	UIBackground.jpg	4096	1397	0.0	0.0
Special	Water1.png	139	480	0.0108172582568996	0.040002997601918465
Special	Window.png	365	436	0.031618389766175425	0.015200452431821039
Special	Window2.png	365	436	0.04284951216046025	0.015200452431821039
Special	Window3.png	365	436	0.0057405281285878304	0.015200452431821039
