special	n_size	s_size	n_bbox	s_bbox	w_ratio	h_ratio	bottom_delta
Background.png	(4096, 1399)	(4096, 1397)	(4096, 1399)	(4096, 1397)	1.0	0.999	-2
Books.png	(149, 124)	(149, 124)	(149, 124)	(149, 73)	1.0	0.589	0
Computer.png	(768, 692)	(768, 692)	(569, 474)	(580, 483)	1.019	1.019	0
Cup.png	(50, 67)	(50, 67)	(50, 67)	(38, 67)	0.76	1.0	0
Cup2.png	(50, 67)	(50, 67)	(50, 67)	(38, 67)	0.76	1.0	0
ElectricalPanel.png	(490, 810)	(490, 810)	(415, 699)	(427, 709)	1.029	1.014	0
HangingLamp.png	(556, 694)	(556, 694)	(480, 594)	(490, 609)	1.021	1.025	0
LeftBookShelf.png	(429, 613)	(429, 613)	(429, 613)	(429, 596)	1.0	0.972	0
Map.png	(993, 786)	(993, 786)	(884, 571)	(836, 588)	0.946	1.03	0
Memo_01.png	(358, 374)	(358, 374)	(296, 314)	(305, 319)	1.03	1.016	0
Memo_02.png	(242, 392)	(242, 392)	(208, 333)	(208, 343)	1.0	1.03	0
Memo_03.png	(432, 278)	(432, 278)	(373, 237)	(371, 244)	0.995	1.03	0
Memo_04.png	(504, 332)	(504, 332)	(392, 275)	(404, 267)	1.031	0.971	0
Printer.png	(185, 115)	(185, 115)	(185, 115)	(185, 115)	1.0	1.0	0
RightBookShelf.png	(437, 613)	(437, 613)	(437, 613)	(437, 612)	1.0	0.998	0
SecurityCamera.png	(876, 536)	(876, 536)	(752, 462)	(769, 471)	1.023	1.019	0
Shelf.png	(566, 912)	(566, 912)	(461, 775)	(475, 764)	1.03	0.986	0
Table.png	(570, 331)	(570, 331)	(570, 331)	(570, 309)	1.0	0.934	0
UIBackground.jpg	(4096, 1399)	(4096, 1397)	(4096, 1399)	(4096, 1397)	1.0	0.999	-2
Water1.png	(139, 480)	(139, 480)	(139, 480)	(139, 287)	1.0	0.598	0
Window.png	(365, 436)	(365, 436)	(365, 436)	(358, 353)	0.981	0.81	0
Window2.png	(365, 436)	(365, 436)	(365, 436)	(307, 427)	0.841	0.979	0
Window3.png	(365, 436)	(365, 436)	(365, 436)	(358, 420)	0.981	0.963	0
